"","STATIONID","STATION"
"1","US1ALTG0006","BON AIR 2.8 SSE"
"2","US1CODN0006","DENVER WSFO AP"
"3","US1COEP0023","COLORADO SPRINGS AIRPORT (MSWS"
"4","US1COLA0037","TRINIDAD AIRPORT"
"5","US1COLN0031","LIMON AIRPORT"
"6","US1COOT0019","LA JUNTA AIRPORT MSWS"
"7","US1COPU0037","PUEBLO AIRPORT"
"8","US1COPW0011","LAMAR AIRPORT MSWS"
"9","US1MABE0038","PITTSFIELD AIRPORT"
"10","US1MDAL0002","CRESAPTOWN-BEL AIR 0.9 SSE"
"11","US1MDHR0001","BEL AIR NORTH 0.8 NW"
"12","US1MDHR0011","BEL AIR 1.7 W"
"13","US1MDHR0018","BEL AIR 2.9 NE"
"14","US1MDHR0032","BEL AIR 1.9 NNE"
"15","US1MDHR0035","BEL AIR 2.5 NNE"
"16","US1MNKC0001","INTERNATIONAL FALLS 1.0 NW"
"17","US1MNKC0003","INTERNATIONAL FALLS 10.2 E"
"18","US1MNKC0004","INTERNATIONAL FALLS 7.7 S"
"19","US1MNKC0007","INTERNATIONAL FALLS 10.3 E"
"20","US1MNKC0008","INTERNATIONAL FALLS 1.1 NW"
"21","US1MNKC0009","INTERNATIONAL FALLS 0.6 NW"
"22","US1MNKC0010","INTERNATIONAL FALLS 5.1 SSW"
"23","US1MNKC0011","INTERNATIONAL FALLS 0.7 E"
"24","US1MNKC0014","INTERNATIONAL FALLS 10.3 WSW"
"25","US1MNKC0018","INTERNATIONAL FALLS 1.1 NNW"
"26","US1MNKC0019","INTERNATIONAL FALLS 9.5 E"
"27","US1MNKC0020","INTERNATIONAL FALLS 8.8 E"
"28","US1MNKC0021","INTERNATIONAL FALLS 7.3 E"
"29","US1MSAC0004","CORINTH 5.1 WSW (AIRPORT)"
"30","US1TXLK0022","LUBBOCK INTERNATIONAL"
"31","US1TXSM0022","ARP 5.9 NNW"
"32","US1VACS0048","BON AIR 4.0 S"
"33","US1VACS0054","BON AIR 2.4 WNW"
"34","US1WYAB0007","LARAMIE AIRPORT"
"35","US1WYCR0003","RAWLINS AIRPORT"
