"","STATIONID","LAT","LONG","STATION"
"1","US1ALTG0006","33.2243",-86.3195,"BON AIR 2.8 SSE"
"2","US1CODN0006","39.7685",-104.8681,"DENVER WSFO AP"
"3","US1COEP0023","38.8166",-104.7166,"COLORADO SPRINGS AIRPORT (MSWS"
"4","US1COLA0037","37.2666",-104.3166,"TRINIDAD AIRPORT"
"5","US1COLN0031","39.2666",-103.6666,"LIMON AIRPORT"
"6","US1COME0044","39.1199",-108.5252,"GRAND JUNCTION REGIONAL AIRPOR"
"7","US1COOT0019","38.0500",-103.5166,"LA JUNTA AIRPORT MSWS"
"8","US1COPU0037","38.2833",-104.4999,"PUEBLO AIRPORT"
"9","US1COPW0011","38.0666",-102.6833,"LAMAR AIRPORT MSWS"
"10","US1ILMCH079","42.1841",-88.3034,"LAKE IN THE HILLS 1.1 ESE"
"11","US1ILMCH085","42.1936",-88.3709,"LAKE IN THE HILLS 2.5 W"
"12","US1MABE0038","42.4276",-73.2908,"PITTSFIELD AIRPORT"
"13","US1MDAL0002","39.5768",-78.8498,"CRESAPTOWN-BEL AIR 0.9 SSE"
"14","US1MDHR0001","39.5619",-76.3842,"BEL AIR NORTH 0.8 NW"
"15","US1MDHR0011","39.5385",-76.3788,"BEL AIR 1.7 W"
"16","US1MDHR0018","39.5641",-76.3079,"BEL AIR 2.9 NE"
"17","US1MDHR0032","39.5610",-76.3378,"BEL AIR 1.9 NNE"
"18","US1MDHR0035","39.5667",-76.3246,"BEL AIR 2.5 NNE"
"19","US1MIIC0006","44.2933",-83.6841,"NATIONAL CITY 4.5 NNE"
"20","US1MNKC0001","48.5970",-93.4256,"INTERNATIONAL FALLS 1.0 NW"
"21","US1MNKC0003","48.6068",-93.1854,"INTERNATIONAL FALLS 10.2 E"
"22","US1MNKC0004","48.4778",-93.4228,"INTERNATIONAL FALLS 7.7 S"
"23","US1MNKC0007","48.6041",-93.1828,"INTERNATIONAL FALLS 10.3 E"
"24","US1MNKC0008","48.5975",-93.4284,"INTERNATIONAL FALLS 1.1 NW"
"25","US1MNKC0009","48.5936",-93.4193,"INTERNATIONAL FALLS 0.6 NW"
"26","US1MNKC0010","48.5239",-93.4607,"INTERNATIONAL FALLS 5.1 SSW"
"27","US1MNKC0011","48.5880",-93.3915,"INTERNATIONAL FALLS 0.7 E"
"28","US1MNKC0014","48.5201",-93.607,"INTERNATIONAL FALLS 10.3 WSW"
"29","US1MNKC0018","48.6039",-93.4146,"INTERNATIONAL FALLS 1.1 NNW"
"30","US1MNKC0019","48.6055",-93.2009,"INTERNATIONAL FALLS 9.5 E"
"31","US1MNKC0020","48.5963",-93.216,"INTERNATIONAL FALLS 8.8 E"
"32","US1MNKC0021","48.6074",-93.2506,"INTERNATIONAL FALLS 7.3 E"
"33","US1MSAC0004","34.9156",-88.6023,"CORINTH 5.1 WSW (AIRPORT)"
"34","US1OHOT0004","41.6390",-82.8248,"PUT-IN-BAY 1.1 SSW"
"35","US1TXLK0022","33.6658",-101.8233,"LUBBOCK INTERNATIONAL"
"36","US1TXSM0022","32.3059",-95.0983,"ARP 5.9 NNW"
"37","US1VACS0048","37.4626",-77.5813,"BON AIR 4.0 S"
"38","US1VACS0054","37.5360",-77.6073,"BON AIR 2.4 WNW"
"39","US1WYAB0007","41.3166",-105.6666,"LARAMIE AIRPORT"
"40","US1WYCR0003","41.7833",-107.2041,"RAWLINS AIRPORT"
"41","US1WYGS0005","42.0666",-104.15,"TORRINGTON AIRPORT"
"42","US1WYLM0011","41.1499",-104.8166,"CHEYENNE AIRPORT"
"43","USC00010830","33.5678",-86.7564,"BIRMINGHAM AP AA"
"44","USC00026180","36.9211",-111.4489,"PAGE AP"
"45","USC00026482","33.4436",-112.0239,"PHOENIX AP ASOS BACKUP"
"46","USC00027477","33.3833",-110.4667,"SAN CARLOS AP"
"47","USC00027718","35.3000",-113.1667,"SELIGMAN AP"
"48","USC00027855","34.2639",-110.0075,"SHOW LOW AP"
"49","USC00029007","35.6667",-112.15,"VALLE AP"
"50","USC00040619","34.0833",-118.45,"BEL AIR FC 10A"
"51","USC00041960","37.9833",-122.0167,"CONCORD AP"
"52","USC00044558","36.2333",-121.1167,"KING CITY AP"
"53","USC00045112","34.0667",-118.2333,"LOS ANGELES TERMINAL A"
"54","USC00046826","38.2578",-122.6078,"PETALUMA AP"
"55","USC00048832","35.1308",-118.4325,"TEHACHAPI AP"
"56","USC00049040","39.3181",-120.145,"TRUCKEE-TAHOE AP"
"57","USC00051777","38.8158",-104.6994,"COLORADO SPRINGS AP SNOW"
"58","USC00052212","39.8308",-104.6867,"DENVER INTL AP 2SW"
"59","USC00053246","38.6878",-108.9608,"GATEWAY 1ENE"
"60","USC00080211","29.7258",-85.0206,"APALACHICOLA AP"
"61","USC00081649","26.7333",-80.95,"CLEWISTON AP"
"62","USC00084095","25.5011",-80.55,"HOMESTEAD GEN AVIATION AP"
"63","USC00088756","30.3964",-84.3558,"TALLAHASSEE AP"
"64","USC00090586","30.8228",-84.6175,"BAINBRIDGE INTL PAPER"
"65","USC00108076","45.2000",-113.8667,"SALMON AP"
"66","USC00108535","42.6514",-111.5833,"SODA SPRINGS AP"
"67","USC00111577","41.7372",-87.7772,"CHICAGO MIDWAY AP 3SW"
"68","USC00112470","41.9058",-88.2556,"DUPAGE AP"
"69","USC00116703","40.6914",-89.6667,"PEORIA AIRPORT 2NE"
"70","USC00121719","40.9167",-87.15,"COLLEGEVILLE ST JOE AP"
"71","USC00122309","38.4558",-86.6983,"DUBOIS SRN IN FORAGE FARM"
"72","USC00124168","38.2667",-86.95,"HUNTINGBURG AP"
"73","USC00125607","41.7000",-86.8167,"MICHIGAN CY PHILIPS AP"
"74","USC00127357","39.7667",-84.8333,"RICHMOND AIRPORT"
"75","USC00129678","40.1714",-84.9208,"WINCHESTER AIRPORT 3 E"
"76","USC00132359","42.4000",-90.6667,"DUBUQUE AP"
"77","USC00147546","38.7056",-97.8461,"SMOKY HILL AIR NATL GRD RANGE"
"78","USC00166657","30.0292",-91.8844,"NEW IBERIA AP - ACADIANA RGNL"
"79","USC00166661","30.0333",-90.0333,"NEW ORLEANS AP"
"80","USC00167001","30.5500",-92.0833,"OPELOUSAS AP"
"81","USC00173353","45.4631",-69.5553,"GREENVILLE MUNI AP"
"82","USC00189502","39.0667",-77.0333,"WHEATON RGNL PARK"
"83","USC00197124","42.5333",-70.8667,"SALEM CG AIR STN"
"84","USC00200710","42.1244",-86.4267,"BENTON HARBOR AP"
